ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Calle,Dirección Normalizada,COMUNA,pos x,pos y,PARTICIPANTES,VICTIMA,ACUSADO,ID_hecho,ROL,SEXO,EDAD,FECHA_FALLECIMIENTO,AÑO,DIA_SEMANA,Categoria_Participante,FALLECIMIENTO_MISMO_DIA
2016-0076,1,2016-06-13,2016,6,13,16:20:00,16,AV SAN MARTIN Y CAMARONES,AVENIDA,SAN MARTIN AV.,SAN MARTIN AV. y CAMARONES,15,-58.46210891,-34.60356211,PEATON-PASAJEROS,PEATON,PASAJEROS,2016-0076,PEATON,FEMENINO,53,2016-06-13,2016,Monday,PEATON,1
2016-0077,1,2016-06-13,2016,6,13,21:52:00,21,TTEG JUAN D PERON Y AVDA LEANDRO N ALEM,AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL","PERON, JUAN DOMINGO, TTE. GENERAL y ALEM, LEANDRO N. AV.",1,-58.3702777,-34.60536123,PEATON-PASAJEROS,PEATON,PASAJEROS,2016-0077,PEATON,FEMENINO,42,2016-06-13,2016,Monday,PEATON,1
2016-0078,1,2016-06-13,2016,6,13,23:01:00,23,AV BELGRANO Y AV JUJUY,AVENIDA,BELGRANO AV.,BELGRANO AV. y JUJUY AV.,3,-58.40491455,-34.6146383,MOTO-MOTO,MOTO,MOTO,2016-0078,CONDUCTOR,MASCULINO,30,2016-06-13,2016,Monday,MOTO,1
2016-0079,1,2016-06-16,2016,6,16,17:13:00,17,AV DEL LIBERTADOR Y AV GUILLERMO UDAONDO,AVENIDA,DEL LIBERTADOR AV.,"DEL LIBERTADOR AV. y UDAONDO, GUILLERMO AV.",13,-58.45504154,-34.54864492,AUTO-AUTO,AUTO,AUTO,2016-0079,CONDUCTOR,FEMENINO,51,2016-06-16,2016,Thursday,AUTO,1
2016-0080,1,2016-06-18,2016,6,18,06:42:00,6,AV GRAL PAZ Y AV RIVADAVIA,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y RIVADAVIA AV.",9,-58.52927982,-34.63931752,AUTO-SD,AUTO,PASAJEROS,2016-0080,CONDUCTOR,MASCULINO,60,2016-06-18,2016,Saturday,AUTO,1
2016-0081,1,2016-06-22,2016,6,22,07:42:00,7,AV CRISOLOGO LARRALDE Y MACHAIN,AVENIDA,"LARRALDE, CRISOLOGO AV.","LARRALDE, CRISOLOGO AV. y MACHAIN",12,-58.4872106,-34.55904606,MOTO-AUTO,MOTO,AUTO,2016-0081,CONDUCTOR,MASCULINO,40,2016-06-22,2016,Wednesday,MOTO,1
2016-0082,1,2016-06-27,2016,6,27,18:24:00,18,AV LA PLATA 2384,AVENIDA,LA PLATA AV.,LA PLATA AV. 2384,4,-58.42273092,-34.64228803,PEATON-AUTO,PEATON,AUTO,2016-0082,PEATON,MASCULINO,87,2016-07-05,2016,Monday,PEATON,0
2016-0083,1,2016-06-28,2016,6,28,20:46:00,20,AV JUAN B ALBERDI Y PUAN,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.","ALBERDI, JUAN BAUTISTA AV. y PUAN",6,-58.44788671,-34.62539009,PEATON-MOTO,PEATON,MOTO,2016-0083,PEATON,FEMENINO,76,2016-06-29,2016,Tuesday,PEATON,0
2016-0084,1,2016-06-29,2016,6,29,22:00:00,22,CARLOS PELLEGRINI Y TUCUMAN,CALLE,"PELLEGRINI, CARLOS","PELLEGRINI, CARLOS y TUCUMAN",1,-58.38110563,-34.60135531,PEATON-PASAJEROS,PEATON,PASAJEROS,2016-0084,PEATON,MASCULINO,57,2016-07-08,2016,Wednesday,PEATON,0
2016-0085,1,2016-06-29,2016,6,29,22:00:00,22,AVDA ITE FRANCISCO RABANAL & AVDA EREZCANO,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.","RABANAL, FRANCISCO, INTENDENTE AV. y EREZCANO",4,-58.42378834,-34.657341,MOTO-MOVIL,MOTO,OTRO,2016-0085,SD,MASCULINO,42,2016-06-29,2016,Wednesday,MOTO,1
